patient_id,sample_rate,signal_len
40000538,500,5000
40001578,500,5000
40001657,500,5000
40001889,500,5000
40002465,500,5000
40006386,500,5000
40006524,500,5000
40006725,500,5000
40007857,500,5000
40008576,500,5000
40009057,500,5000
40009935,500,5000
40010488,500,5000
40011266,500,5000
40012002,500,5000
40012333,500,5000
40012679,500,5000
40013096,500,5000
40014323,500,5000
40014469,500,5000
40014552,500,5000
40015220,500,5000
40015461,500,5000
40015688,500,5000
40015779,500,5000
40016009,500,5000
40016434,500,5000
40016476,500,5000
40017014,500,5000
40017333,500,5000
40017760,500,5000
40018585,500,5000
40018655,500,5000
40018728,500,5000
40018954,500,5000
40019941,500,5000
40023674,500,5000
40023945,500,5000
40027193,500,5000
40027330,500,5000
40027961,500,5000
40029086,500,5000
40029634,500,5000
40030076,500,5000
40030323,500,5000
40030521,500,5000
40030732,500,5000
40031325,500,5000
40031442,500,5000
40031592,500,5000
40032061,500,5000
40033934,500,5000
40034723,500,5000
40034934,500,5000
40036724,500,5000
40036927,500,5000
40037087,500,5000
40037525,500,5000
40038067,500,5000
40038833,500,5000
40039110,500,5000
40039839,500,5000
40040238,500,5000
40040653,500,5000
40040771,500,5000
40040884,500,5000
40041240,500,5000
40041373,500,5000
40041636,500,5000
40042787,500,5000
40042863,500,5000
40043223,500,5000
40043342,500,5000
40043516,500,5000
40043741,500,5000
40045278,500,5000
40045857,500,5000
40046578,500,5000
40048068,500,5000
40048538,500,5000
40049705,500,5000
40050123,500,5000
40050634,500,5000
40050730,500,5000
40053151,500,5000
40053679,500,5000
40054188,500,5000
40055623,500,5000
40055687,500,5000
40057156,500,5000
40058185,500,5000
40059382,500,5000
40059701,500,5000
40059778,500,5000
40060126,500,5000
40060409,500,5000
40060443,500,5000
40061639,500,5000
40062356,500,5000
40063722,500,5000
40064004,500,5000
40064740,500,5000
40064934,500,5000
40065423,500,5000
40065660,500,5000
40067119,500,5000
40067340,500,5000
40067510,500,5000
40067546,500,5000
40067673,500,5000
40067706,500,5000
40068776,500,5000
40069452,500,5000
40070950,500,5000
40071512,500,5000
40071678,500,5000
40073236,500,5000
40073405,500,5000
40075162,500,5000
40075779,500,5000
40076409,500,5000
40076623,500,5000
40077162,500,5000
40078904,500,5000
